churn,Recency,Frequency,Monetary,AvgOrderValue,CustomerLifetimeDays,AvgDaysBetweenPurchases,PurchaseRatePerMonth,WeekendPurchaseRatio,EveningPurchaseRatio,UniqueActiveMonths,UniqueActiveDays,MonthlyPurchaseVariance,UniqueProducts,ProductDiversityRatio,AvgItemsPerInvoice,RepeatPurchaseRatio,TopProductConcentration,RecencyScore,MonetaryScore,QuantityPerMonth,InvoiceFrequencyScore,EngagementScore,R_Quartile,F_Quartile,M_Quartile,RFM_Score,Recency_Frequency,Monetary_Frequency,Recency_Monetary,Log_Monetary,Log_Frequency,Log_Recency,High_Recency_Flag,Low_Frequency_Flag,Low_Monetary_Flag,Recency_Bucket
1,73,11,372.86,33.89636363636364,196,19.6,1.4601769911504423,0.0,0.0,4,4,2.0615528128088303,26,2.363636363636364,6.363636363636363,0.0384615384615384,0.2424242424242424,0.2588652473089884,0.0067486303496428,17.5,2.75,0.0550180893370413,1,2,1,4,803,4101.46,27218.78,5.923881395784186,2.4849066497880004,4.30406509320417,0,0,1,2
0,133,1,794.52,794.52,0,0.0,1.0,0.0,0.0,1,1,0.0,40,40.0,457.0,0.0,0.025,0.4716312040013078,0.0144000177101073,457.0,1.0,0.0076085200198492,2,0,2,4,133,794.52,105671.16,6.678995988882291,0.6931471805599453,4.897839799950911,1,1,0,3
1,111,1,437.11,437.11,0,0.0,1.0,0.0,0.0,1,1,0.0,20,20.0,253.0,0.0,0.05,0.3936170198807907,0.0079145024691463,253.0,1.0,0.0047992195934017,2,0,2,4,111,437.11,48519.21,6.082470020398197,0.6931471805599453,4.718498871295094,1,1,0,3
0,94,2,382.13,191.065,181,181.0,0.2843601895734597,0.0,0.0,2,2,0.0,21,10.5,78.0,0.0476190476190476,0.0909090909090909,0.3333333321513002,0.0069168425605034,78.0,1.0,0.0092224567636898,2,0,1,3,188,764.26,35920.22,5.94837435717628,1.0986122886681098,4.553876891600541,1,0,1,3
0,79,5,1236.48,247.296,198,49.5,0.6578947368421053,0.3623188405797101,0.0,3,4,0.5773502691896257,67,13.4,85.2,0.0298507462686567,0.0289855072463768,0.2801418429782204,0.0224197662227263,142.0,1.6666666666666667,0.0806952579697548,2,2,3,7,395,6182.4,97681.92,7.120832332696083,1.791759469228055,4.382026634673881,1,0,0,2
0,107,2,528.0,264.0,92,92.0,0.4918032786885246,0.0,0.0,2,2,0.0,38,19.0,226.0,0.0,0.0263157894736842,0.3794326227679694,0.0095637805538416,226.0,1.0,0.0118699404294403,2,0,2,4,214,1056.0,56496.0,6.270988431858299,1.0986122886681098,4.68213122712422,1,0,0,3
1,6,3,276.35,92.11666666666667,220,110.0,0.36,0.3125,0.0,3,3,0.0,13,4.333333333333333,47.0,0.1538461538461538,0.1875,0.0212765956692319,0.0049973724779963,47.0,1.0,0.0146731362131204,0,1,1,2,18,829.0500000000001,1658.1,5.625280246501244,1.3862943611198906,1.9459101490553128,0,0,1,0
1,172,1,371.5,371.5,0,0.0,1.0,1.0,0.0,1,1,0.0,10,10.0,146.0,0.0,0.1,0.6099290758513154,0.0067239519670354,146.0,1.0,0.0026228181577128,3,0,1,4,172,371.5,63898.0,5.920237037819614,0.6931471805599453,5.153291594497779,1,1,1,3
0,185,1,159.6,159.6,0,0.0,1.0,0.0,0.0,1,1,0.0,7,7.0,120.0,0.0,0.1428571428571428,0.6560283664679846,0.0028788422063693,120.0,1.0,0.0009902400564057,3,0,0,3,185,159.6,29526.0,5.078916801512661,0.6931471805599453,5.225746673713202,1,1,1,4
1,168,3,474.92,158.30666666666667,44,22.0,1.2162162162162162,0.0,0.0,2,2,0.7071067811865476,29,9.666666666666666,80.0,0.0,0.0344827586206896,0.595744678738494,0.0086005977973708,120.0,1.5,0.0104305122768514,3,1,2,6,504,1424.76,79786.56,6.16524977287965,1.3862943611198906,5.1298987149230735,1,0,0,3
0,189,2,487.68,243.84,0,0.0,2.0,0.0,1.0,1,1,0.0,31,15.5,124.5,0.032258064516129,0.0625,0.6702127635808058,0.0088321390930107,249.0,2.0,0.0058254534863079,3,0,2,5,378,975.36,92171.52,6.191707878535859,1.0986122886681098,5.247024072160486,1,0,0,4
